ParameterName,GroupId,GroupName,DataType,Visible,Discipline,CategorySet,RevitCategories,BindingScope,BindingType,ParameterGroup,Priority,Description,ApplicationNote,AlternativeNote
TR_Olcek,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Sheets,Sheets,Project Parameter - Sheets,Instance,Identity Data,Orta,"Çizim ölçeği (1:50, 1:100, 1:200 vb)",Pafta numarası ve ölçek pafta seviyesinde tutulmalıdır.,
TR_YapiSinifi,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Yapı sınıfı: Basit/Normal/Büyük/Özel,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_YapiKullanimAmaci,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Konut/Ticari/Endüstriyel/Karma,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_KatAdedi,2,TR-YAPI BİLGİLERİ,INTEGER,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Toplam kat adedi (bodrum dahil),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_ToplamInsaatAlani,2,TR-YAPI BİLGİLERİ,AREA,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Toplam inşaat alanı (m2),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_BrutAlan,2,TR-YAPI BİLGİLERİ,AREA,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Brüt alan (m2),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_NetAlan,2,TR-YAPI BİLGİLERİ,AREA,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Net alan (m2),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_TabanAlani,2,TR-YAPI BİLGİLERİ,AREA,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Taban alanı (m2),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_YukseklikBinaH,2,TR-YAPI BİLGİLERİ,LENGTH,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Dimensions,Orta,BYKHY göre bina yüksekliği (m),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_KatYuksekligi,2,TR-YAPI BİLGİLERİ,LENGTH,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Net kat yüksekliği (m),Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_TasiyiciSistem,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Betonarme/Çelik/Ahşap/Yığma,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_DuvarMalzemesi,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Dış duvar malzemesi,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_CatiSistemi,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Çatı sistemi tipi,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_IsletimSertifikasi,2,TR-YAPI BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Bina kullanım sertifikası no,Yapı genelini tarif eden üst veriler için önerilir.,Eleman bazlı varyasyon gerekiyorsa ilgili eleman grubundaki parametreler kullanılmalıdır.
TR_YangBinaYuksKat,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Bina yükseklik sınıfı (BYKHY),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangKullanimSinifi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Kullanım sınıfı (A1-G),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangTehlikeSinifi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yangın tehlike sınıfı,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangYapiMalSinifi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yapı malz. yangın sınıfı (A1-F/s/d),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangKacinmaYolu,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Kaçınma yolu tipi ve sayısı,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangKacisKorMesafe,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),LENGTH,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Maks. kaçış mesafesi (m),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangMerdiven,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Architecture - Stairs / Egress,"Stairs, Railings",Project Parameter - Category Set,Type,Fire Protection,Orta,Yangın merdiveni tipi,Kaçış merdiveni ve genişlik bilgileri merdiven tipleri ile ilişkilendirilmelidir.,
TR_YangMerdivenGenislik,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),LENGTH,Evet,Mimari,Architecture - Stairs / Egress,"Stairs, Railings",Project Parameter - Category Set,Type,Fire Protection,Orta,Merdiven genişliği (m),Kaçış merdiveni ve genişlik bilgileri merdiven tipleri ile ilişkilendirilmelidir.,
TR_YangDuvarDirenc,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Fire Protection,Orta,Duvar direnç süresi (REI-xx),Duvar dayanım ve yangın sınıfı tip bazında tutulmalıdır.,
TR_YangKapiSinifi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Fire Protection,Orta,Yangın kapısı sınıfı (EI30/EI60/EI90),Kapı yangın sınıfı ve güvenlik kriterleri kapı tiplerinde tutulmalıdır.,
TR_YangSprinklerVarMi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Sprinkler sistemi var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangSprinklerTipi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Sprinkler sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangDumTasBarieri,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Duman taşıma bariyeri var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangDumKontrolSis,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Duman kontrol sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangIhbarSistemi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yangın ihbar sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangHidrantVarMi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yangın hidrantı var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangSigortaZonNo,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yangın güvenlik zonu no,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangAcilIsikVarMi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Acil durum aydınlatma var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangYonlendirmeVarMi,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Acil durum yönlendirme var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_YangSiginmaAlani,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),AREA,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Yangın sığınma alanı (m2),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Tahliye güzergâhı ve mahale bağlı kontroller için Rooms / Areas raporlaması eklenebilir.
TR_DepremBolgesi,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Deprem bölgesi DD-1/DD-2/DD-3/DD-4,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremYerTipi,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Zemin tipi ZA/ZB/ZC/ZD/ZE/ZF,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremBinaDPS,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Deprem performans seviyesi (BKS-1/2/3),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremKullanim,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Kullanım sınıfı KKS-1/KKS-2/KKS-3,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremTasiyiciSis,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Depreme dayanıklı taşıyıcı sistem tipi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremPerdeSistem,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Perde duvar sistemi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremSismikAnaliz,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Sismik analiz yöntemi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremSs,4,TR-DEPREM (TBDY 2018),NUMBER,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Kısa periyot spektral ivme Ss (g),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremS1,4,TR-DEPREM (TBDY 2018),NUMBER,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,1 sn periyot spektral ivme S1 (g),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremPGA,4,TR-DEPREM (TBDY 2018),NUMBER,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,PGA (g) tepe zemin ivmesi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremGuclenDurumu,4,TR-DEPREM (TBDY 2018),TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Güçlendirme durumu,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_DepremIzolasyonVarMi,4,TR-DEPREM (TBDY 2018),YESNO,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Sismik izolasyon var mı?,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,
TR_EngRampaVarMi,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Architecture - Accessibility,"Ramps, Floors, Generic Models",Project Parameter - Category Set,Instance,Identity Data,Orta,Engelli rampası var mı? (TS 9111),Rampa eğimi ve var/yok durumu erişim öğelerinde instance bazında izlenmelidir.,
TR_EngRampaEgimi,5,TR-ERİŞİLEBİLİRLİK (TS 9111),NUMBER,Evet,Mimari,Architecture - Accessibility,"Ramps, Floors, Generic Models",Project Parameter - Category Set,Instance,Dimensions,Orta,Rampa eğimi maks. (%) TS 9111,Rampa eğimi ve var/yok durumu erişim öğelerinde instance bazında izlenmelidir.,
TR_EngAsansorVarMi,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Architecture - Accessibility,"Mechanical Equipment, Specialty Equipment, Generic Models",Project Parameter - Category Set,Instance,Identity Data,Orta,Engelli asansörü var mı?,Asansör erişilebilirlik denetimi cihaz / şaft çözümüne göre instance bazında tutulur.,
TR_EngWCVarMi,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Rooms & Spaces,"Plumbing Fixtures, Rooms, MEP Spaces",Project Parameter - Category Set,Instance,Identity Data,Orta,Engelli WC var mı?,Erişilebilir WC kontrolü mahal ve armatür seviyesinde izlenmelidir.,
TR_EngOtoparkVarMi,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Architecture - Accessibility,"Parking, Generic Models",Project Parameter - Category Set,Instance,Identity Data,Orta,Engelli otoparkı var mı?,Erişilebilir otopark bilgisi park yeri veya alan bazında tutulabilir.,
TR_EngKapiGenislik,5,TR-ERİŞİLEBİLİRLİK (TS 9111),LENGTH,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Orta,Engelli kapı genişliği min. 90 cm,Erişilebilir kapı net geçiş bilgileri kapı tiplerine bağlanmalıdır.,
TR_EngHissedilebilirYuzey,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hissedilebilir yüzey var mı?,Sertifika / genel erişilebilirlik durumu proje seviyesinde özetlenmelidir.,
TR_EngBrailleTabela,5,TR-ERİŞİLEBİLİRLİK (TS 9111),YESNO,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Braille/sesli tabelalar var mı?,Sertifika / genel erişilebilirlik durumu proje seviyesinde özetlenmelidir.,
TR_EngSertifikaDurumu,5,TR-ERİŞİLEBİLİRLİK (TS 9111),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,TS 9111 uygunluk belgesi durumu,Sertifika / genel erişilebilirlik durumu proje seviyesinde özetlenmelidir.,
TR_EngGecisGenislikKoridor,5,TR-ERİŞİLEBİLİRLİK (TS 9111),LENGTH,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Dimensions,Orta,Koridor serbest geçiş genişliği (m),Sertifika / genel erişilebilirlik durumu proje seviyesinde özetlenmelidir.,
TR_EnerjiSinifi,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,Bina enerji sınıfı A+/A/B/C/D/E/F/G (BEP-TR),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_IklimBolgesi,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,İklim bölgesi 1-4 (TS 825),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_CercevePencereUw,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Energy Analysis,Orta,Pencere Uw değeri (W/m2K),U değeri ve cam sistemi pencere tiplerinde tutulmalıdır.,
TR_ZeminKatUDegeri,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Dimensions,Orta,Zemin kat döşemesi U değeri (W/m2K),Zemin kat ısıl performansı döşeme tipinde tutulmalıdır.,
TR_IsitmaSistemi,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,MEP - HVAC,"Mechanical Equipment, Ducts, Pipes, Air Terminals",Project Parameter - Category Set,Type,Energy Analysis,Orta,Isıtma sistemi tipi,Sistem tipi ve enerji performans verileri MEP sistem tiplerinde tutulmalıdır.,
TR_SogutmaSistemi,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,MEP - HVAC,"Mechanical Equipment, Ducts, Pipes, Air Terminals",Project Parameter - Category Set,Type,Energy Analysis,Orta,Soğutma sistemi tipi,Sistem tipi ve enerji performans verileri MEP sistem tiplerinde tutulmalıdır.,
TR_HavalandirmaSistemi,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,MEP - HVAC,"Mechanical Equipment, Ducts, Pipes, Air Terminals",Project Parameter - Category Set,Type,Energy Analysis,Orta,Havalandırma sistemi tipi,Sistem tipi ve enerji performans verileri MEP sistem tiplerinde tutulmalıdır.,
TR_YenilenebilirEnerji,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,Yenilenebilir enerji sistemi (GES/RES vb),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_PrimaryEnerjiTuketim,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,Birincil enerji tüketimi (kWh/m2.yıl),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_CO2Emisyon,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,CO2 emisyon değeri (kg/m2.yıl),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_BepTrRaporNo,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),TEXT,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Energy Analysis,Orta,BEP-TR hesap raporu referans no,Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_DuvarUDegeri,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Dimensions,Orta,Dış duvar U değeri (W/m2K),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
TR_CatiUDegeri,6,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),NUMBER,Evet,Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Dimensions,Orta,Çatı/teras U değeri (W/m2K),Enerji sınıfı ve iklim bölgesi proje üst verisidir.,
