ParametreAdı,SemanticAnahtar,StandartParametre_EN,VeriTipi,GrupID,GrupAdı,Disiplin,KategoriKümesi,ÖnerilenRevitKategorileri,BağlamaKapsamı,BağlamaTürü,RevitArayüzGrubu,Öncelik,ZorunluMu,DegerKaynakKurali,AnaKullanim,Açıklama,UygulamaNotu,Description_TR,Description_EN,CeviriKaynagi,GozdenGecirmeDurumu
TR_ElektrikOdaNo,elektrik_oda_no,EN_ElectricalEngineerLicenseNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,EMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",EMO sicil no,Chamber of Electrical Engineers license number,shared_param_definition,kontrol_gerekli
TR_ProjeAsamasi,proje_asamasi,EN_ProjectStage,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Ön / Kesin / Uygulama / Ruhsat projesi,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Ön / Kesin / Uygulama / Ruhsat projesi,Preliminary / Final / Construction Document / Permit project,shared_param_definition_manual_en,guncellendi
TR_ProjeRevizyon,proje_revizyon,EN_ProjectRevision,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Revizyon no ve tarihi,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Revizyon no ve tarihi,Revision number and date,shared_param_definition_manual_en,guncellendi
TR_CizimNo,cizim_no,EN_DrawingNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Sheets,Sheets,Project Parameter - Sheets,Instance,Identity Data,Orta,Hayır,manual,Sheets,Çizim/pafta numarası,Pafta numarası ve ölçek pafta seviyesinde tutulmalıdır.,Çizim/pafta numarası,Drawing / sheet number,shared_param_definition,guncellendi
TR_Olcek,olcek,EN_Scale,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Sheets,Sheets,Project Parameter - Sheets,Instance,Identity Data,Orta,Hayır,manual,Sheets,"Çizim ölçeği (1:50, 1:100, 1:200 vb)",Pafta numarası ve ölçek pafta seviyesinde tutulmalıdır.,"Çizim ölçeği (1:50, 1:100, 1:200 vb)","Drawing scale (1:50, 1:100, 1:200 etc.)",shared_param_definition,guncellendi
TR_YapiSinifi,yapi_sinifi,EN_BuildingClass,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı sınıfı: Basit/Normal/Büyük/Özel,Yapı genelini tarif eden üst veriler için önerilir.,Yapı sınıfı: Basit/Normal/Büyük/Özel,Building class: Simple / Normal / Large / Special,shared_param_definition,guncellendi
TR_YapiKullanimAmaci,yapi_kullanim_amaci,EN_BuildingUsePurpose,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Konut/Ticari/Endüstriyel/Karma,Yapı genelini tarif eden üst veriler için önerilir.,Konut/Ticari/Endüstriyel/Karma,Residential / Commercial / Industrial / Mixed,shared_param_definition,guncellendi
TR_KatAdedi,kat_adedi,EN_StoreyCount,INTEGER,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Toplam kat adedi (bodrum dahil),Yapı genelini tarif eden üst veriler için önerilir.,Toplam kat adedi (bodrum dahil),Total number of storeys (including basement),shared_param_definition_manual_en,guncellendi
TR_ToplamInsaatAlani,toplam_insaat_alani,EN_TotalConstructionArea,AREA,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Toplam inşaat alanı (m2),Yapı genelini tarif eden üst veriler için önerilir.,Toplam inşaat alanı (m2),Total construction area (m2),shared_param_definition,guncellendi
TR_BrutAlan,brut_alan,EN_GrossArea,AREA,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Brüt alan (m2),Yapı genelini tarif eden üst veriler için önerilir.,Brüt alan (m2),Gross floor area (m2),shared_param_definition,guncellendi
TR_NetAlan,net_alan,EN_NetArea,AREA,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Net alan (m2),Yapı genelini tarif eden üst veriler için önerilir.,Net alan (m2),Net floor area (m2),shared_param_definition,guncellendi
TR_TabanAlani,taban_alani,EN_FootprintArea,AREA,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Taban alanı (m2),Yapı genelini tarif eden üst veriler için önerilir.,Taban alanı (m2),Footprint area (m2),shared_param_definition,guncellendi
TR_YukseklikBinaH,yukseklik_bina_h,EN_BuildingHeight,LENGTH,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Dimensions,Orta,Hayır,manual,Project Information,BYKHY göre bina yüksekliği (m),Yapı genelini tarif eden üst veriler için önerilir.,BYKHY göre bina yüksekliği (m),Building height per BFRR (m),shared_param_definition,guncellendi
TR_KatYuksekligi,kat_yuksekligi,EN_StoreyHeight,LENGTH,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Net kat yüksekliği (m),Yapı genelini tarif eden üst veriler için önerilir.,Net kat yüksekliği (m),Net storey height (m),shared_param_definition_manual_en,guncellendi
TR_TasiyiciSistem,tasiyici_sistem,EN_StructuralSystem,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Betonarme/Çelik/Ahşap/Yığma,Yapı genelini tarif eden üst veriler için önerilir.,Betonarme/Çelik/Ahşap/Yığma,Reinforced concrete / Steel / Timber / Masonry,shared_param_definition_manual_en,guncellendi
TR_DuvarMalzemesi,duvar_malzemesi,EN_WallMaterial,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Dış duvar malzemesi,Yapı genelini tarif eden üst veriler için önerilir.,Dış duvar malzemesi,Exterior wall material,shared_param_definition_manual_en,guncellendi
TR_CatiSistemi,cati_sistemi,EN_RoofSystem,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Çatı sistemi tipi,Yapı genelini tarif eden üst veriler için önerilir.,Çatı sistemi tipi,Roof system type,shared_param_definition_manual_en,guncellendi
TR_IsletimSertifikasi,isletim_sertifikasi,EN_OccupancyCertificate,TEXT,2,TR-YAPI BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Bina kullanım sertifikası no,Yapı genelini tarif eden üst veriler için önerilir.,Bina kullanım sertifikası no,Building occupancy permit number,shared_param_definition_manual_en,guncellendi
TR_YangBinaYuksKat,yang_bina_yuks_kat,EN_FireBuildingHeightClass,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Bina yükseklik sınıfı (BYKHY),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Bina yükseklik sınıfı (BYKHY),Building height class (BYKHY),shared_param_definition_manual_en,guncellendi
TR_YangKullanimSinifi,yang_kullanim_sinifi,EN_FireOccupancyClass,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Kullanım sınıfı (A1-G),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Kullanım sınıfı (A1-G),Occupancy class (A1-G),shared_param_definition_manual_en,guncellendi
TR_YangTehlikeSinifi,yang_tehlike_sinifi,EN_FireHazardClass,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yangın tehlike sınıfı,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yangın tehlike sınıfı,Fire hazard class,shared_param_definition_manual_en,guncellendi
TR_YangYapiMalSinifi,yang_yapi_mal_sinifi,EN_FireBuildingMaterialFireClass,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yapı malz. yangın sınıfı (A1-F/s/d),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yapı malz. yangın sınıfı (A1-F/s/d),Building material fire class (A1-F/s/d),shared_param_definition_manual_en,guncellendi
TR_YangKacinmaYolu,yang_kacinma_yolu,EN_FireMeansOfEscape,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Kaçınma yolu tipi ve sayısı,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Kaçınma yolu tipi ve sayısı,Escape route type and count,shared_param_definition_manual_en,guncellendi
TR_YangKacisKorMesafe,yang_kacis_kor_mesafe,EN_FireEscapeDistance,LENGTH,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Maks. kaçış mesafesi (m),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Maks. kaçış mesafesi (m),Maximum escape distance (m),shared_param_definition_manual_en,guncellendi
TR_YangMerdiven,yang_merdiven,EN_FireStair,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Architecture - Stairs / Egress,"Stairs, Railings",Project Parameter - Category Set,Type,Fire Protection,Orta,Hayır,manual,Architecture - Stairs / Egress,Yangın merdiveni tipi,Kaçış merdiveni ve genişlik bilgileri merdiven tipleri ile ilişkilendirilmelidir.,Yangın merdiveni tipi,Fire escape stair type,shared_param_definition_manual_en,guncellendi
TR_YangMerdivenGenislik,yang_merdiven_genislik,EN_FireStairWidth,LENGTH,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Architecture - Stairs / Egress,"Stairs, Railings",Project Parameter - Category Set,Type,Fire Protection,Orta,Hayır,manual,Architecture - Stairs / Egress,Merdiven genişliği (m),Kaçış merdiveni ve genişlik bilgileri merdiven tipleri ile ilişkilendirilmelidir.,Merdiven genişliği (m),Stair width (m),shared_param_definition_manual_en,guncellendi
TR_YangDuvarDirenc,yang_duvar_direnc,EN_FireWallResistance,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Fire Protection,Orta,Hayır,manual,Architecture - Walls,Duvar direnç süresi (REI-xx),Duvar dayanım ve yangın sınıfı tip bazında tutulmalıdır.,Duvar direnç süresi (REI-xx),Wall fire resistance duration (REI-xx),shared_param_definition_manual_en,guncellendi
TR_YangKapiSinifi,yang_kapi_sinifi,EN_FireDoorFireClass,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Fire Protection,Orta,Hayır,manual,Architecture - Doors,Yangın kapısı sınıfı (EI30/EI60/EI90),Kapı yangın sınıfı ve güvenlik kriterleri kapı tiplerinde tutulmalıdır.,Yangın kapısı sınıfı (EI30/EI60/EI90),Fire door class (EI30/EI60/EI90),shared_param_definition_manual_en,guncellendi
TR_YangSprinklerVarMi,yang_sprinkler_var_mi,EN_FireHasSprinkler,YESNO,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Sprinkler sistemi var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Sprinkler sistemi var mı?,Is there a sprinkler system?,shared_param_definition_manual_en,guncellendi
TR_YangSprinklerTipi,yang_sprinkler_tipi,EN_FireSprinklerType,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Sprinkler sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Sprinkler sistemi tipi,Sprinkler system type,shared_param_definition_manual_en,guncellendi
TR_YangDumTasBarieri,yang_dum_tas_barieri,EN_FireSmokeBarrier,YESNO,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Duman taşıma bariyeri var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Duman taşıma bariyeri var mı?,Is there a smoke barrier?,shared_param_definition_manual_en,guncellendi
TR_YangDumKontrolSis,yang_dum_kontrol_sis,EN_FireSmokeControlSystem,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Duman kontrol sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Duman kontrol sistemi tipi,Smoke control system type,shared_param_definition_manual_en,guncellendi
TR_YangIhbarSistemi,yang_ihbar_sistemi,EN_FireFireAlarmSystem,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yangın ihbar sistemi tipi,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yangın ihbar sistemi tipi,Fire alarm system type,shared_param_definition_manual_en,guncellendi
TR_YangHidrantVarMi,yang_hidrant_var_mi,EN_FireHasHydrant,YESNO,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yangın hidrantı var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yangın hidrantı var mı?,Is there a fire hydrant?,shared_param_definition_manual_en,guncellendi
TR_YangSigortaZonNo,yang_sigorta_zon_no,EN_FireFireZoneNumber,TEXT,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yangın güvenlik zonu no,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yangın güvenlik zonu no,Fire safety zone number,shared_param_definition_manual_en,guncellendi
TR_YangAcilIsikVarMi,yang_acil_isik_var_mi,EN_FireHasEmergencyLighting,YESNO,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Acil durum aydınlatma var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Acil durum aydınlatma var mı?,Is there emergency lighting?,shared_param_definition_manual_en,guncellendi
TR_YangYonlendirmeVarMi,yang_yonlendirme_var_mi,EN_FireHasExitSignage,YESNO,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Acil durum yönlendirme var mı?,Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Acil durum yönlendirme var mı?,Is there emergency wayfinding signage?,shared_param_definition_manual_en,guncellendi
TR_YangSiginmaAlani,yang_siginma_alani,EN_FireRefugeArea,AREA,3,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),Mimari,Project Information,Project Information,Project Parameter - Project Information,Instance,Fire Protection,Orta,Hayır,manual,Project Information,Yangın sığınma alanı (m2),Bina düzeyi yangın kullanım / tehlike sınıfları proje üst verisi olarak tutulmalıdır.,Yangın sığınma alanı (m2),Fire refuge area (m2),shared_param_definition_manual_en,guncellendi
TR_DepremBolgesi,deprem_bolgesi,EN_SeismicZone,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Deprem bölgesi DD-1/DD-2/DD-3/DD-4,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Deprem bölgesi DD-1/DD-2/DD-3/DD-4,Seismic zone DD-1/DD-2/DD-3/DD-4,shared_param_definition_manual_en,guncellendi
TR_DepremYerTipi,deprem_yer_tipi,EN_SeismicSiteClass,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Zemin tipi ZA/ZB/ZC/ZD/ZE/ZF,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Zemin tipi ZA/ZB/ZC/ZD/ZE/ZF,Soil class ZA/ZB/ZC/ZD/ZE/ZF,shared_param_definition_manual_en,guncellendi
TR_DepremBinaDPS,deprem_bina_dps,EN_SeismicBuildingPerformanceLevel,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Deprem performans seviyesi (BKS-1/2/3),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Deprem performans seviyesi (BKS-1/2/3),Seismic performance level (BKS-1/2/3),shared_param_definition_manual_en,guncellendi
TR_DepremKullanim,deprem_kullanim,EN_SeismicUse,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Kullanım sınıfı KKS-1/KKS-2/KKS-3,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Kullanım sınıfı KKS-1/KKS-2/KKS-3,Usage class KKS-1/KKS-2/KKS-3,shared_param_definition_manual_en,guncellendi
TR_DepremTasiyiciSis,deprem_tasiyici_sis,EN_SeismicStructuralSystem,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Depreme dayanıklı taşıyıcı sistem tipi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Depreme dayanıklı taşıyıcı sistem tipi,Seismic force-resisting structural system type,shared_param_definition_manual_en,guncellendi
TR_DepremPerdeSistem,deprem_perde_sistem,EN_SeismicShearWallSystem,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Perde duvar sistemi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Perde duvar sistemi,Shear wall system,shared_param_definition_manual_en,guncellendi
TR_DepremSismikAnaliz,deprem_sismik_analiz,EN_SeismicAnalysisMethod,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Sismik analiz yöntemi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Sismik analiz yöntemi,Seismic analysis method,shared_param_definition_manual_en,guncellendi
TR_DepremSs,deprem_ss,EN_SeismicSs,NUMBER,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Kısa periyot spektral ivme Ss (g),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Kısa periyot spektral ivme Ss (g),Short-period spectral acceleration Ss (g),shared_param_definition_manual_en,guncellendi
TR_DepremS1,deprem_s1,EN_SeismicS1,NUMBER,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,1 sn periyot spektral ivme S1 (g),TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,1 sn periyot spektral ivme S1 (g),1-second period spectral acceleration S1 (g),shared_param_definition_manual_en,guncellendi
TR_DepremPGA,deprem_pga,EN_SeismicPGA,NUMBER,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,PGA (g) tepe zemin ivmesi,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,PGA (g) tepe zemin ivmesi,Peak ground acceleration PGA (g),shared_param_definition_manual_en,guncellendi
TR_DepremGuclenDurumu,deprem_guclen_durumu,EN_SeismicRetrofitStatus,TEXT,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Güçlendirme durumu,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Güçlendirme durumu,Strengthening status,shared_param_definition_manual_en,guncellendi
TR_DepremIzolasyonVarMi,deprem_izolasyon_var_mi,EN_SeismicHasBaseIsolation,YESNO,4,TR-DEPREM (TBDY 2018),Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Hayır,manual,Project Information,Sismik izolasyon var mı?,TBDY / deprem tasarım girdileri çoğunlukla bina ve proje düzeyindedir.,Sismik izolasyon var mı?,Is there seismic isolation?,shared_param_definition_manual_en,guncellendi
